dish_ID,dish_name,cluster
13962,義式風味巴薩米克炒蝦,1
13966,一個人的簡單料理鮮蔬起司歐姆蛋捲,2
13981,古早味麻油蛋麵線,1
14004,滿口奶油香維也納酥餅,0
14005,一個人的簡單料理金沙豆腐,4
14012,一個人的簡單料理滑蛋牛肉,4
14015,搶眼家常菜芋頭燒雞,4
14064,品靚上菜青江菜炒飯,1
14075,品靚上菜剝皮辣椒醃小黃瓜,1
14076,品靚上菜黑椒雞排,1
14080,品靚上菜起司厚蛋燒,0
14107,下酒良伴腐乳炸雞塊,3
14110,黯然銷魂咖喱飯,4
14111,熱炒必點糖醋魚片,2
14148,臘味飯,3
14171,地獄料理愛心眼球便當,1
14173,馬鈴薯通心粉沙拉,4
14175,油爆蒜香蝦,1
14176,意外配出好滋味杏鮑菇麻油麵線2人份,1
14179,香菇竹筍肉包,0
14181,在家也可以自己做的月亮蝦餅,4
14206,我的手作料理辣醬香根土豆絲,4
14209,一人獨享蛋餃濃湯,4
14212,英式鬆餅,0
14228,品靚烘焙檸檬杯子小蛋糕,0
14246,自製甜雞醬月亮蝦餅沾醬,3
14258,力力隨意煮鮮蝦粉絲煲,4
14297,南瓜培根義大利麵,1
14302,阿嬤的地瓜湯圓,4
14305,好蕾絲上菜高麗菜水餃,2
14309,堡雞料理,2
14351,白酒淡菜甜椒培根天使麵,2
14381,電鍋臘腸飯,1
14403,力力隨意煮嫩炒黃瓜雞球,1
14413,羅勒乳酪麵包,0
14426,留學生五分鐘料理泡菜炒年糕,2
14436,我的手作料理薑母鴨飯,1
14442,家常油飯,4
14461,我的手作料理鮮蝦粉絲煲,4
14465,留學生五分鐘料理菠菜杏鮑菇味噌湯,1
14466,留學生電鍋食譜紅酒燉雞腿,2
14467,黑芝麻糊,3
14468,洛神玫瑰花麵包,0
14471,可愛的比利時鬆餅,0
14473,蓬鬆柔軟的香甜柚子戚風蛋糕,0
14485,超簡單雞蛋火腿起司土司,0
14489,焗烤薯泥,4
14490,我的手作料理檸檬雞,3
14504,廚房韓式烤豬肋排,4
14506,廚房宮保雞丁,4
14507,廚房蠔油杏鮑菇蛋捲,4
14509,品靚上菜五味軟絲,4
14517,品靚上菜黑椒洋葱軟絲翼,1
14518,鹹蛋南瓜,4
14520,滷肉飯,3
14529,蔭瓜絞肉,2
14536,品靚上菜秋末溫補雞湯,1
14537,麻油煮牛肉,2
14545,品靚上菜清蒸茄子,2
14546,我的手作料理韓式泡菜,2
14556,力力隨意煮紹興辣腸筊白筍蛋炒飯,2
14563,地瓜抓餅,3
14573,客家小炒,4
14588,清爽降火苦瓜鑲肉排骨湯,2
14589,我的手作料理吻仔魚烘蛋,4
14592,繽紛水果塔,0
14603,開陽白菜,4
14606,紅酒麻花圈,0
14613,力力隨意煮蔥爆豬肉,4
14633,我的手作料理金沙豆腐,3
14634,米奇廚房自製草莓果醬,3
14651,品靚上菜腐乳炸雞塊,3
14657,香干肉絲,1
14660,愚蓁家常豆腐,4
14669,糖漬橙皮,3
14671,我的手作料理英式焦糖布丁,0
14676,我的手作料理芝麻貝果,0
14678,香菜豆皮,1
14680,法式清爽風馬鈴薯沙拉,4
14687,留學生電鍋食譜英國風上海菜飯,1
14690,簡單魚料理清蒸鱈魚,4
14693,力力隨意煮不用烤箱的偽烤蒜香雞翅,1
14723,魚香菊花茄子,4
14742,泡芙,0
14747,我的手作料理菇菇豆腐,1
14748,我的手作料理蒜味五花肉,1
14752,泡菜豬里肌,1
14757,的愛心牛肉麵,1
14768,炸彈泡芙,0
14790,力力隨意煮台式大阪燒鮮蝦煎餅,4
14792,蔥烤排骨,4
14802,廚房枸杞韭菜炒羊肉,2
14805,梅蜜蕃茄,1
14808,力力隨意煮奶油魚片,1
14823,我的手作料理金銀莧菜,4
14832,不吃辣的辣料理麻婆豆腐,4
14834,留學生五分鐘料理鮭魚蘑菇義大利麵,1
14847,ﾟ留學生食譜の焗烤番茄盅ﾟﾟ,1
14850,ﾟ留學生食譜の醬煮鱈魚ﾟﾟ,4
14855,清冰箱義大利蔬菜烘蛋餅,2
14857,親子食堂貓頭鷹主題飯糰,2
14862,海綿便當系列細菌人便當,1
14865,紹興醉雞腿,4
14871,我的手作料理泡菜年糕,1
14872,我的手作料理涼拌辣醬魷魚,1
14881,清爽臭豆腐,2
14892,柳橙杯子蛋糕,0
14897,超營養蝦餃泡麵,1
14898,品靚上菜香酥香魚,3
14907,我的手作料理蔥花麵包,0
14911,秋冬好下飯薑汁燒肉,4
14917,提姆士食譜感恩節美食配菜焗烤鮪魚麵,0
14920,德式香腸炒玉米,1
14925,我的手作料理起酥肉鬆麵包,0
14943,三杯雞,2
14948,造型便當聖誕雪人,1
14952,俏皮系列做個屬於自己的便當吧,2
14956,我的手作料理麻辣豆干,4
14961,嫰到骨子裡烏醋燒雞翅,4
14964,爆過頭佐蜂蜜蘋果醬,0
14973,元気いっぱい味噌汁元氣滿滿味增湯,1
14981,幸福系列伸個懶腰放輕鬆吧喵,4
14996,樂活食阿基師蝦仁黃金蛋炒飯,0
15010,樂活食醬燒豆腐素食不難吃,3
15017,7餅乾盒裡的好滋味果醬奶酥餅乾,0
15031,鹹香下飯的醬燒小卷,1
15032,樂活食鹹蛋苦瓜不苦很香耶,1
15034,7酸甜好滋味洛神花蜜餞,1
15037,原味司康,0
15048,西芹炒鮮菇,2
15052,蔓越莓餅乾,0
15058,7鬆軟的馬鈴薯麵包,0
15062,品靚上菜萬用沾醬蔬菜肉海鮮連水餃都搭啦,1
15063,我的手作料理泰式檸檬蒸魚,1
15075,薑母鴨,1
15088,口感清爽的原味蒸蛋糕,0
15099,零油煙涼拌菠菜,1
15101,力力隨意煮香辣涼拌涮豬肉,1
15122,冰鎮檸檬蘇打汽水,3
15156,草莓鮮奶油蛋糕簡單的生日蛋糕,0
15166,品靚上菜酪梨沙拉酪梨烤方,1
15171,品靚上菜厚燒蛋捲梅子風,0
15173,繽紛水果優格沙拉5分鐘速成,3
15175,草莓鮮奶油戚風杯子蛋糕,0
15178,迷迭香烤羊肉佐番茄洋蔥,1
15184,我的手作料理鳳凰酥,0
15188,暖呼呼早餐高麗菜煎餅,0
15197,泰式涼拌鮮蝦冬粉,2
15198,香菜煎蛋,1
15204,香芋蛋糕捲分蛋式海綿,0
15209,化腐朽為神奇的吃不完早餐油條牛肉,4
15216,好菇道菇香炒麻油菇,1
15218,酥炸排骨,4
15227,好吃又營養的法式吐司,0
15235,品靚上菜家常葱爆蝦,4
15239,品靚上菜黑木耳炒雞肉,4
15243,品靚上菜砂鍋蒸飯,3
15246,7台灣蕃薯變身日式點心之茶巾地瓜燒,0
15264,力力隨意煮白菜上海炒年糕,2
15275,品靚上菜排骨玉米湯,1
15279,我的手作料理芋香椒鹽丁香,4
15281,品靚上菜窮人的燕窩銀耳,3
